EDAD,edad2,educ,ingreso_total_familiar,horastrab,POBRE,ANO,HOGAR_ID
38.0,1444.0,12,363231.2384473198,48.0,0,2005,258739  _1.0
35.0,1225.0,9,363231.2384473198,48.0,0,2005,258739  _1.0
70.0,4900.0,9,363231.2384473198,48.0,0,2005,258739  _1.0
9.0,81.0,7,363231.2384473198,48.0,0,2005,258739  _1.0
7.0,49.0,7,363231.2384473198,48.0,0,2005,258739  _1.0
50.0,2500.0,14,142443.62292051755,45.0,0,2005,258916  _1.0
44.0,1936.0,0,320498.1515711645,20.0,0,2005,258928  _1.0
35.0,1225.0,17,320498.1515711645,20.0,0,2005,258928  _1.0
2.0,4.0,3,320498.1515711645,20.0,0,2005,258928  _1.0
64.0,4096.0,9,300912.15341959335,18.0,0,2005,259046  _1.0
26.0,676.0,17,300912.15341959335,18.0,0,2005,259046  _1.0
23.0,529.0,14,300912.15341959335,18.0,0,2005,259046  _1.0
1.0,1.0,3,300912.15341959335,18.0,0,2005,259046  _1.0
40.0,1600.0,0,1103938.0776340112,50.0,0,2005,259065  _1.0
30.0,900.0,0,1103938.0776340112,50.0,0,2005,259065  _1.0
5.0,25.0,3,1103938.0776340112,50.0,0,2005,259065  _1.0
3.0,9.0,3,1103938.0776340112,50.0,0,2005,259065  _1.0
31.0,961.0,9,534163.5859519409,72.0,0,2005,259125  _1.0
36.0,1296.0,0,534163.5859519409,72.0,0,2005,259125  _1.0
5.0,25.0,3,534163.5859519409,72.0,0,2005,259125  _1.0
2.0,4.0,3,534163.5859519409,72.0,0,2005,259125  _1.0
25.0,625.0,17,890272.6432532347,60.0,0,2005,259132  _1.0
26.0,676.0,0,890272.6432532347,60.0,0,2005,259132  _1.0
58.0,3364.0,9,178054.52865064694,40.0,0,2005,259283  _1.0
27.0,729.0,12,178054.52865064694,40.0,0,2005,259283  _1.0
66.0,4356.0,9,12819.92606284658,3.0,1,2005,259336  _1.0
43.0,1849.0,9,591141.0351201479,63.0,0,2005,259449  _1.0
25.0,625.0,14,591141.0351201479,63.0,0,2005,259449  _1.0
45.0,2025.0,12,89027.26432532347,30.0,1,2005,259498  _1.0
55.0,3025.0,9,89027.26432532347,30.0,1,2005,259498  _1.0
24.0,576.0,0,89027.26432532347,20.0,0,2005,259832  _1.0
23.0,529.0,12,106832.71719038817,36.0,1,2005,259966  _1.0
26.0,676.0,12,106832.71719038817,36.0,1,2005,259966  _1.0
6.0,36.0,7,106832.71719038817,36.0,1,2005,259966  _1.0
2.0,4.0,3,106832.71719038817,36.0,1,2005,259966  _1.0
33.0,1089.0,12,89027.26432532347,10.0,1,2005,260122  _1.0
40.0,1600.0,9,89027.26432532347,10.0,1,2005,260122  _1.0
10.0,100.0,7,89027.26432532347,10.0,1,2005,260122  _1.0
56.0,3136.0,7,640996.303142329,50.0,0,2005,260357  _1.0
54.0,2916.0,3,640996.303142329,50.0,0,2005,260357  _1.0
22.0,484.0,12,640996.303142329,50.0,0,2005,260357  _1.0
30.0,900.0,9,640996.303142329,50.0,0,2005,260357  _1.0
39.0,1521.0,14,494991.5896487985,60.0,0,2005,260408  _1.0
41.0,1681.0,9,494991.5896487985,60.0,0,2005,260408  _1.0
16.0,256.0,9,494991.5896487985,60.0,0,2005,260408  _1.0
13.0,169.0,9,494991.5896487985,60.0,0,2005,260408  _1.0
3.0,9.0,3,494991.5896487985,60.0,0,2005,260408  _1.0
49.0,2401.0,14,498552.68022181146,40.0,0,2005,260733  _1.0
48.0,2304.0,12,498552.68022181146,40.0,0,2005,260733  _1.0
24.0,576.0,12,498552.68022181146,40.0,0,2005,260733  _1.0
31.0,961.0,12,712218.1146025878,55.0,0,2005,260777  _1.0
25.0,625.0,14,712218.1146025878,55.0,0,2005,260777  _1.0
5.0,25.0,3,712218.1146025878,55.0,0,2005,260777  _1.0
25.0,625.0,9,381036.69131238444,60.0,0,2005,260782  _1.0
24.0,576.0,12,381036.69131238444,60.0,0,2005,260782  _1.0
5.0,25.0,3,381036.69131238444,60.0,0,2005,260782  _1.0
4.0,16.0,3,381036.69131238444,60.0,0,2005,260782  _1.0
1.0,1.0,3,381036.69131238444,60.0,0,2005,260782  _1.0
60.0,3600.0,9,356109.0573012939,12.0,0,2005,260963  _1.0
73.0,5329.0,14,356109.0573012939,12.0,0,2005,260963  _1.0
30.0,900.0,17,356109.0573012939,12.0,0,2005,260963  _1.0
67.0,4489.0,9,480747.22735674673,60.0,0,2005,260990  _1.0
61.0,3721.0,9,480747.22735674673,60.0,0,2005,260990  _1.0
26.0,676.0,17,480747.22735674673,60.0,0,2005,260990  _1.0
24.0,576.0,17,480747.22735674673,60.0,0,2005,260990  _1.0
61.0,3721.0,14,246427.46765249537,35.0,0,2005,261008  _1.0
12.0,144.0,7,246427.46765249537,35.0,0,2005,261008  _1.0
49.0,2401.0,14,302692.6987060998,30.0,0,2005,261043  _1.0
