CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,POBRE,EDAD,edad2,educ,ingreso_total_familiar,horastrab_x,horastrab_y,miembros_hogar,horastrab
TQRMNORTXHKORMCDEIJAH00878014,1.0,2,1,15.0,5.0,1.0,3,3,3.0,335500.0,671000.0,0.0,0.0,,2025,TQRMNORTXHKORMCDEIJAH00878014_1.0,1.0,1.76,642711.52,0,15.0,225.0,9,671000.0,,,2,36.0
TQRMNOTWRHKORMCDEIJAH00878015,1.0,1,2,36.0,1.0,4.0,3,3,4.0,126000.0,378000.0,0.0,0.0,,2025,TQRMNOTWRHKORMCDEIJAH00878015_1.0,0.77,2.56,934853.12,1,36.0,1296.0,9,378000.0,,,3,
TQRMNOTWRHKORMCDEIJAH00878015,1.0,2,1,38.0,1.0,4.0,6,1,0.0,126000.0,378000.0,250000.0,3.0,1.0,2025,TQRMNOTWRHKORMCDEIJAH00878015_1.0,1.0,2.56,934853.12,1,38.0,1444.0,17,378000.0,,,3,
TQRMNOQSRHJOLRCDEIIAD00873319,1.0,1,1,28.0,5.0,1.0,5,1,0.0,2700000.0,2700000.0,1800000.0,3.0,2.0,2025,TQRMNOQSRHJOLRCDEIIAD00873319_1.0,1.02,1.02,372480.54,0,28.0,784.0,14,2700000.0,,,1,40.0
TQRMNOSYUHKOMLCDEIJAH00856434,1.0,6,2,6.0,5.0,4.0,1,4,3.0,117166.67,703000.0,0.0,0.0,,2025,TQRMNOSYUHKOMLCDEIJAH00856434_1.0,0.64,4.83,1763804.91,1,6.0,36.0,3,703000.0,,,6,98.0
TQRMNOPQXHJMPLCDEIJAH00872797,1.0,1,2,56.0,5.0,4.0,4,1,0.0,328000.0,328000.0,250000.0,3.0,1.0,2025,TQRMNOPQXHJMPLCDEIJAH00872797_1.0,0.76,0.76,277534.52,0,56.0,3136.0,12,328000.0,,,1,16.0
TQRMNOTWRHKORMCDEIJAH00878015,1.0,3,1,10.0,5.0,4.0,1,3,3.0,126000.0,378000.0,0.0,0.0,,2025,TQRMNOTWRHKORMCDEIJAH00878015_1.0,0.79,2.56,934853.12,1,10.0,100.0,3,378000.0,,,3,
TQRMNOQTVHKMROCDEIJAH00861510,1.0,1,2,68.0,3.0,1.0,2,1,0.0,682500.0,1365000.0,300000.0,2.0,2.0,2025,TQRMNOQTVHKMROCDEIJAH00861510_1.0,0.67,1.67,609845.59,0,68.0,4624.0,7,1365000.0,,,2,24.0
TQRMNOQTVHKMROCDEIJAH00861510,1.0,2,1,38.0,5.0,1.0,4,1,0.0,682500.0,1365000.0,500000.0,3.0,2.0,2025,TQRMNOQTVHKMROCDEIJAH00861510_1.0,1.0,1.67,609845.59,0,38.0,1444.0,12,1365000.0,,,2,24.0
TQRMNORXUHLOSTCDEIJAH00855721,1.0,1,2,37.0,3.0,1.0,3,1,0.0,180000.0,720000.0,200000.0,3.0,2.0,2025,TQRMNORXUHLOSTCDEIJAH00855721_1.0,0.77,2.95,1077272.15,1,37.0,1369.0,9,720000.0,,,4,47.0
