"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2014","1,332.00","1,332.00","1,332.00","1,332.00","","1.99%"
"11/19/2014","1,306.00","1,306.00","1,306.00","1,306.00","","0.77%"
"11/18/2014","1,296.00","1,296.00","1,296.00","1,296.00","","2.53%"
"11/17/2014","1,264.00","1,264.00","1,264.00","1,264.00","","0.64%"
"11/14/2014","1,256.00","1,256.00","1,256.00","1,256.00","","-0.63%"
"11/13/2014","1,264.00","1,264.00","1,264.00","1,264.00","","-4.75%"
"11/12/2014","1,327.00","1,327.00","1,327.00","1,327.00","","-3.14%"
"11/11/2014","1,370.00","1,370.00","1,370.00","1,370.00","","-3.39%"
"11/10/2014","1,418.00","1,418.00","1,418.00","1,418.00","","-1.32%"
"11/07/2014","1,437.00","1,437.00","1,437.00","1,437.00","","0.07%"
"11/06/2014","1,436.00","1,436.00","1,436.00","1,436.00","","-1.91%"
"11/05/2014","1,464.00","1,464.00","1,464.00","1,464.00","","-1.35%"
"11/04/2014","1,484.00","1,484.00","1,484.00","1,484.00","","1.92%"
"11/03/2014","1,456.00","1,456.00","1,456.00","1,456.00","","1.96%"
"10/31/2014","1,428.00","1,428.00","1,428.00","1,428.00","","0.28%"
"10/30/2014","1,424.00","1,424.00","1,424.00","1,424.00","","-0.28%"
"10/29/2014","1,428.00","1,428.00","1,428.00","1,428.00","","2.37%"
"10/28/2014","1,395.00","1,395.00","1,395.00","1,395.00","","8.56%"
"10/27/2014","1,285.00","1,285.00","1,285.00","1,285.00","","7.80%"
"10/24/2014","1,192.00","1,192.00","1,192.00","1,192.00","","3.20%"
"10/23/2014","1,155.00","1,155.00","1,155.00","1,155.00","","1.67%"
"10/22/2014","1,136.00","1,136.00","1,136.00","1,136.00","","4.22%"
"10/21/2014","1,090.00","1,090.00","1,090.00","1,090.00","","12.02%"
"10/20/2014","973.00","973.00","973.00","973.00","","3.07%"
"10/17/2014","944.00","944.00","944.00","944.00","","1.51%"
"10/16/2014","930.00","930.00","930.00","930.00","","-0.53%"
"10/15/2014","935.00","935.00","935.00","935.00","","-1.37%"
"10/14/2014","948.00","948.00","948.00","948.00","","-0.63%"
"10/13/2014","954.00","954.00","954.00","954.00","","-0.93%"
"10/10/2014","963.00","963.00","963.00","963.00","","-1.13%"
"10/09/2014","974.00","974.00","974.00","974.00","","-1.72%"
"10/08/2014","991.00","991.00","991.00","991.00","","-2.36%"
"10/07/2014","1,015.00","1,015.00","1,015.00","1,015.00","","-1.36%"
"10/06/2014","1,029.00","1,029.00","1,029.00","1,029.00","","-0.77%"
"10/03/2014","1,037.00","1,037.00","1,037.00","1,037.00","","-0.38%"
