date,open,high,low,close,volume,commodity
2014-09-01,1151.0,1151.0,1151.0,1151.0,0,Baltic_Dry_Index
2014-09-02,1149.0,1149.0,1149.0,1149.0,0,Baltic_Dry_Index
2014-09-03,1142.0,1142.0,1142.0,1142.0,0,Baltic_Dry_Index
2014-09-04,1147.0,1147.0,1147.0,1147.0,0,Baltic_Dry_Index
2014-09-05,1155.0,1155.0,1155.0,1155.0,0,Baltic_Dry_Index
2014-09-08,1166.0,1166.0,1166.0,1166.0,0,Baltic_Dry_Index
2014-09-09,1197.0,1197.0,1197.0,1197.0,0,Baltic_Dry_Index
2014-09-10,1197.0,1197.0,1197.0,1197.0,0,Baltic_Dry_Index
2014-09-11,1186.0,1186.0,1186.0,1186.0,0,Baltic_Dry_Index
2014-09-12,1181.0,1181.0,1181.0,1181.0,0,Baltic_Dry_Index
2014-09-15,1173.0,1173.0,1173.0,1173.0,0,Baltic_Dry_Index
2014-09-16,1150.0,1150.0,1150.0,1150.0,0,Baltic_Dry_Index
2014-09-17,1124.0,1124.0,1124.0,1124.0,0,Baltic_Dry_Index
2014-09-18,1089.0,1089.0,1089.0,1089.0,0,Baltic_Dry_Index
2014-09-19,1075.0,1075.0,1075.0,1075.0,0,Baltic_Dry_Index
2014-09-22,1077.0,1077.0,1077.0,1077.0,0,Baltic_Dry_Index
2014-09-23,1073.0,1073.0,1073.0,1073.0,0,Baltic_Dry_Index
2014-09-24,1056.0,1056.0,1056.0,1056.0,0,Baltic_Dry_Index
2014-09-25,1038.0,1038.0,1038.0,1038.0,0,Baltic_Dry_Index
2014-09-26,1049.0,1049.0,1049.0,1049.0,0,Baltic_Dry_Index
2014-09-29,1062.0,1062.0,1062.0,1062.0,0,Baltic_Dry_Index
2014-09-30,1063.0,1063.0,1063.0,1063.0,0,Baltic_Dry_Index
2014-10-01,1055.0,1055.0,1055.0,1055.0,0,Baltic_Dry_Index
2014-10-02,1041.0,1041.0,1041.0,1041.0,0,Baltic_Dry_Index
2014-10-03,1037.0,1037.0,1037.0,1037.0,0,Baltic_Dry_Index
2014-10-06,1029.0,1029.0,1029.0,1029.0,0,Baltic_Dry_Index
2014-10-07,1015.0,1015.0,1015.0,1015.0,0,Baltic_Dry_Index
2014-10-08,991.0,991.0,991.0,991.0,0,Baltic_Dry_Index
