CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,IPCF,ITF,P21,CAT_OCUP,PP03J,ANO,HOGAR_ID,ADULTO_EQUIVALENTE,AD_EQUIV_HOGAR,INGRESO_NECESARIO,pobre
242326  ,1.0,2.0,2,52,,,3,3,4.0,133.33333333333334,400.0,0.0,0.0,0.0,2005,242326  _1.0,0.76,2.7800000000000002,570.0946,1
242326  ,1.0,3.0,1,19,,,4,2,0.0,133.33333333333334,400.0,0.0,3.0,0.0,2005,242326  _1.0,1.02,2.7800000000000002,570.0946,1
242408  ,1.0,1.0,1,34,,,7,1,0.0,740.0,1480.0,1200.0,3.0,No,2005,242408  _1.0,1.0,1.76,360.9232,0
242408  ,1.0,2.0,2,28,,,7,1,0.0,740.0,1480.0,280.0,2.0,No,2005,242408  _1.0,0.76,1.76,360.9232,0
242535  ,1.0,1.0,1,74,,,7,3,1.0,1650.0,3300.0,0.0,0.0,0.0,2005,242535  _1.0,0.83,1.5,307.605,0
242535  ,1.0,2.0,2,66,,,7,3,1.0,1650.0,3300.0,0.0,0.0,0.0,2005,242535  _1.0,0.67,1.5,307.605,0
242726  ,1.0,1.0,1,59,,,5,1,0.0,400.0,800.0,800.0,2.0,No,2005,242726  _1.0,1.0,1.76,360.9232,0
242726  ,1.0,2.0,2,51,,,7,3,4.0,400.0,800.0,0.0,0.0,0.0,2005,242726  _1.0,0.76,1.76,360.9232,0
242766  ,1.0,1.0,1,44,,,7,1,0.0,4000.0,4000.0,4000.0,3.0,No,2005,242766  _1.0,1.0,1.0,205.07,0
242913  ,1.0,1.0,1,42,,,6,2,0.0,512.5,2050.0,0.0,2.0,0.0,2005,242913  _1.0,1.0,3.2199999999999998,660.3254,0
242913  ,1.0,2.0,2,46,,,5,1,0.0,512.5,2050.0,1400.0,3.0,No,2005,242913  _1.0,0.76,3.2199999999999998,660.3254,0
242913  ,1.0,3.0,2,12,,,2,3,3.0,512.5,2050.0,0.0,0.0,0.0,2005,242913  _1.0,0.74,3.2199999999999998,660.3254,0
242913  ,1.0,4.0,2,11,,,2,3,3.0,512.5,2050.0,0.0,0.0,0.0,2005,242913  _1.0,0.72,3.2199999999999998,660.3254,0
243077  ,1.0,1.0,1,41,,,6,1,0.0,500.0,2000.0,2000.0,3.0,No,2005,243077  _1.0,1.0,3.52,721.8464,0
243077  ,1.0,2.0,2,41,,,4,3,4.0,500.0,2000.0,0.0,0.0,0.0,2005,243077  _1.0,0.77,3.52,721.8464,0
243077  ,1.0,3.0,1,16,,,4,3,3.0,500.0,2000.0,0.0,0.0,0.0,2005,243077  _1.0,1.03,3.52,721.8464,0
243077  ,1.0,4.0,2,11,,,2,3,3.0,500.0,2000.0,0.0,0.0,0.0,2005,243077  _1.0,0.72,3.52,721.8464,0
243193  ,1.0,1.0,1,68,,,3,3,1.0,603.3333333333334,1810.0,0.0,0.0,0.0,2005,243193  _1.0,0.83,2.13,436.79909999999995,0
243193  ,1.0,2.0,2,64,,,3,3,4.0,603.3333333333334,1810.0,0.0,0.0,0.0,2005,243193  _1.0,0.67,2.13,436.79909999999995,0
243193  ,1.0,3.0,2,90,,,2,3,1.0,603.3333333333334,1810.0,0.0,0.0,0.0,2005,243193  _1.0,0.63,2.13,436.79909999999995,0
243293  ,1.0,1.0,1,41,,,3,1,0.0,1275.0,2550.0,800.0,3.0,No,2005,243293  _1.0,1.0,1.77,362.9739,0
243293  ,1.0,2.0,2,45,,,6,1,0.0,1275.0,2550.0,400.0,3.0,No,2005,243293  _1.0,0.77,1.77,362.9739,0
243336  ,1.0,1.0,2,80,,,2,3,1.0,580.0,580.0,0.0,0.0,0.0,2005,243336  _1.0,0.63,0.63,129.1941,0
243801  ,1.0,1.0,1,56,,,5,2,0.0,475.0,950.0,0.0,3.0,0.0,2005,243801  _1.0,1.0,1.76,360.9232,0
243801  ,1.0,2.0,2,21,,,5,1,0.0,475.0,950.0,650.0,3.0,Sí,2005,243801  _1.0,0.76,1.76,360.9232,0
243961  ,1.0,1.0,2,79,,,7,1,0.0,1150.0,2300.0,500.0,2.0,No,2005,243961  _1.0,0.63,1.3900000000000001,285.0473,0
243961  ,1.0,2.0,2,26,,,5,2,0.0,1150.0,2300.0,0.0,3.0,0.0,2005,243961  _1.0,0.76,1.3900000000000001,285.0473,0
244354  ,1.0,1.0,1,55,,,3,1,0.0,754.0,3770.0,2800.0,3.0,No,2005,244354  _1.0,1.0,3.83,785.4181,0
244354  ,1.0,2.0,2,48,,,4,3,4.0,754.0,3770.0,0.0,0.0,0.0,2005,244354  _1.0,0.76,3.83,785.4181,0
244354  ,1.0,3.0,2,72,,,2,3,1.0,754.0,3770.0,0.0,0.0,0.0,2005,244354  _1.0,0.67,3.83,785.4181,0
244354  ,1.0,4.0,2,28,,,5,1,0.0,754.0,3770.0,360.0,3.0,No,2005,244354  _1.0,0.76,3.83,785.4181,0
244354  ,1.0,5.0,1,6,,,2,4,3.0,754.0,3770.0,0.0,0.0,0.0,2005,244354  _1.0,0.64,3.83,785.4181,0
244388  ,1.0,1.0,1,59,,,4,1,0.0,650.0,1300.0,1300.0,3.0,No,2005,244388  _1.0,1.0,1.76,360.9232,0
244388  ,1.0,2.0,2,60,,,3,3,4.0,650.0,1300.0,0.0,0.0,0.0,2005,244388  _1.0,0.76,1.76,360.9232,0
244508  ,1.0,1.0,1,54,,,7,1,0.0,575.0,2300.0,1500.0,1.0,No,2005,244508  _1.0,1.0,3.54,725.9478,0
244508  ,1.0,2.0,2,51,,,7,1,0.0,575.0,2300.0,0.0,4.0,No,2005,244508  _1.0,0.76,3.54,725.9478,0
244508  ,1.0,3.0,2,25,,,7,1,0.0,575.0,2300.0,800.0,3.0,No,2005,244508  _1.0,0.76,3.54,725.9478,0
244508  ,1.0,4.0,1,22,,,6,3,3.0,575.0,2300.0,0.0,0.0,0.0,2005,244508  _1.0,1.02,3.54,725.9478,0
244845  ,1.0,1.0,1,45,,,6,2,0.0,200.0,400.0,0.0,3.0,0.0,2005,244845  _1.0,1.0,1.63,334.2641,0
244845  ,1.0,2.0,2,84,,,5,3,1.0,200.0,400.0,0.0,0.0,0.0,2005,244845  _1.0,0.63,1.63,334.2641,0
244992  ,1.0,1.0,2,33,,,4,1,0.0,200.0,800.0,550.0,3.0,No,2005,244992  _1.0,0.77,2.65,543.4354999999999,0
244992  ,1.0,2.0,1,11,,,2,3,3.0,200.0,800.0,0.0,0.0,0.0,2005,244992  _1.0,0.82,2.65,543.4354999999999,0
244992  ,1.0,3.0,2,9,,,2,4,3.0,200.0,800.0,0.0,0.0,0.0,2005,244992  _1.0,0.69,2.65,543.4354999999999,0
244992  ,1.0,4.0,1,1,,,1,4,5.0,200.0,800.0,0.0,0.0,0.0,2005,244992  _1.0,0.37,2.65,543.4354999999999,0
245012  ,1.0,1.0,2,43,,,7,1,0.0,750.0,1500.0,1500.0,3.0,No,2005,245012  _1.0,0.77,1.4300000000000002,293.25010000000003,0
245012  ,1.0,2.0,2,7,,,2,4,3.0,750.0,1500.0,0.0,0.0,0.0,2005,245012  _1.0,0.66,1.4300000000000002,293.25010000000003,0
245067  ,1.0,1.0,2,44,,,7,1,0.0,300.0,300.0,300.0,3.0,No,2005,245067  _1.0,0.77,0.77,157.9039,0
245301  ,1.0,1.0,2,74,,,7,3,1.0,550.0,550.0,0.0,0.0,0.0,2005,245301  _1.0,0.67,0.67,137.39690000000002,0
245366  ,1.0,1.0,1,50,,,4,1,0.0,500.0,2000.0,500.0,2.0,No,2005,245366  _1.0,1.0,3.81,781.3167,0
245366  ,1.0,2.0,2,43,,,5,1,0.0,500.0,2000.0,500.0,2.0,No,2005,245366  _1.0,0.77,3.81,781.3167,0
245366  ,1.0,3.0,1,19,,,4,1,0.0,500.0,2000.0,500.0,2.0,No,2005,245366  _1.0,1.02,3.81,781.3167,0
245366  ,1.0,4.0,1,22,,,6,1,0.0,500.0,2000.0,500.0,2.0,Sí,2005,245366  _1.0,1.02,3.81,781.3167,0
245545  ,1.0,1.0,1,27,,,4,1,0.0,570.0,1140.0,500.0,3.0,No,2005,245545  _1.0,1.02,1.78,365.0246,0
245545  ,1.0,2.0,2,23,,,7,1,0.0,570.0,1140.0,640.0,3.0,No,2005,245545  _1.0,0.76,1.78,365.0246,0
245595  ,1.0,1.0,1,59,,,3,1,0.0,750.0,1500.0,1500.0,3.0,No,2005,245595  _1.0,1.0,1.76,360.9232,0
245595  ,1.0,2.0,2,59,,,4,3,4.0,750.0,1500.0,0.0,0.0,0.0,2005,245595  _1.0,0.76,1.76,360.9232,0
245597  ,1.0,1.0,1,59,,,5,3,7.0,475.0,2850.0,0.0,0.0,0.0,2005,245597  _1.0,1.0,4.91,1006.8937,0
245597  ,1.0,2.0,2,61,,,6,3,1.0,475.0,2850.0,0.0,0.0,0.0,2005,245597  _1.0,0.67,4.91,1006.8937,0
245597  ,1.0,3.0,2,29,,,7,1,0.0,475.0,2850.0,700.0,3.0,No,2005,245597  _1.0,0.76,4.91,1006.8937,0
245597  ,1.0,4.0,1,27,,,7,1,0.0,475.0,2850.0,800.0,3.0,No,2005,245597  _1.0,1.02,4.91,1006.8937,0
245597  ,1.0,5.0,1,34,,,4,1,0.0,475.0,2850.0,1100.0,2.0,No,2005,245597  _1.0,1.0,4.91,1006.8937,0
245597  ,1.0,6.0,1,2,,,1,4,5.0,475.0,2850.0,0.0,0.0,0.0,2005,245597  _1.0,0.46,4.91,1006.8937,0
245645  ,1.0,1.0,1,34,,,5,1,0.0,175.0,700.0,400.0,3.0,Sí,2005,245645  _1.0,1.0,3.05,625.4635,0
245645  ,1.0,2.0,2,42,,,2,3,4.0,175.0,700.0,0.0,0.0,0.0,2005,245645  _1.0,0.77,3.05,625.4635,0
245645  ,1.0,3.0,2,8,,,2,4,3.0,175.0,700.0,0.0,0.0,0.0,2005,245645  _1.0,0.68,3.05,625.4635,0
245645  ,1.0,4.0,1,5,,,2,4,5.0,175.0,700.0,0.0,0.0,0.0,2005,245645  _1.0,0.6,3.05,625.4635,0
245674  ,1.0,1.0,1,67,,,4,2,0.0,262.5,1050.0,0.0,3.0,0.0,2005,245674  _1.0,0.83,3.61,740.3027,0
245674  ,1.0,2.0,2,60,,,4,3,4.0,262.5,1050.0,0.0,0.0,0.0,2005,245674  _1.0,0.76,3.61,740.3027,0
245674  ,1.0,3.0,1,32,,,6,1,0.0,262.5,1050.0,700.0,3.0,No,2005,245674  _1.0,1.0,3.61,740.3027,0
245674  ,1.0,4.0,1,24,,,6,2,0.0,262.5,1050.0,0.0,3.0,0.0,2005,245674  _1.0,1.02,3.61,740.3027,0
245948  ,1.0,1.0,2,42,,,3,1,0.0,900.0,900.0,500.0,2.0,No,2005,245948  _1.0,0.77,0.77,157.9039,0
246283  ,1.0,1.0,1,54,,,7,1,0.0,4550.0,4550.0,2200.0,3.0,No,2005,246283  _1.0,1.0,1.0,205.07,0
246480  ,1.0,1.0,1,40,,,7,1,0.0,412.5,1650.0,1300.0,2.0,No,2005,246480  _1.0,1.0,2.43,498.3201,0
246480  ,1.0,2.0,2,38,,,7,1,0.0,412.5,1650.0,350.0,3.0,No,2005,246480  _1.0,0.77,2.43,498.3201,0
246480  ,1.0,3.0,2,7,,,2,4,3.0,412.5,1650.0,0.0,0.0,0.0,2005,246480  _1.0,0.66,2.43,498.3201,0
246480  ,1.0,4.0,2,,,,1,4,5.0,412.5,1650.0,0.0,0.0,0.0,2005,246480  _1.0,0.0,2.43,498.3201,0
246577  ,1.0,1.0,2,78,,,4,3,4.0,50.0,50.0,0.0,0.0,0.0,2005,246577  _1.0,0.63,0.63,129.1941,1
246659  ,1.0,1.0,1,70,,,4,1,0.0,765.0,1530.0,1200.0,1.0,No,2005,246659  _1.0,0.83,1.5,307.605,0
246659  ,1.0,2.0,2,65,,,3,3,4.0,765.0,1530.0,0.0,0.0,0.0,2005,246659  _1.0,0.67,1.5,307.605,0
246717  ,1.0,1.0,1,24,,,7,1,0.0,750.0,750.0,300.0,3.0,Sí,2005,246717  _1.0,1.02,1.02,209.1714,0
246744  ,1.0,2.0,1,27,,,7,1,0.0,2400.0,2400.0,2400.0,3.0,No,2005,246744  _1.0,1.02,1.02,209.1714,0
