fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
69,5580,60,2000-01-03,2021-06-09,2021-06-10,2021-09-01,82.65654856804329,66.21506773618829,-0.38990140496806536,0.45
70,5640,60,2000-01-03,2021-09-01,2021-09-02,2021-11-24,28.587361584805336,15.59359227765537,0.1807585174676425,0.6333333333333333
71,5700,60,2000-01-03,2021-11-24,2021-11-25,2022-02-16,60.14008426347871,29.298254072395615,-0.06991689093999831,0.5833333333333334
72,5760,60,2000-01-03,2022-02-16,2022-02-17,2022-05-11,106.99513827937282,102.02577691452932,-2.400091655939867,0.3333333333333333
73,5820,60,2000-01-03,2022-05-11,2022-05-12,2022-08-03,97.86836132659221,49.477534005096395,0.09047699225819528,0.6
74,5880,60,2000-01-03,2022-08-03,2022-08-04,2022-10-26,50.464414118761994,37.5905889312395,-0.33421591812269136,0.5333333333333333
75,5940,60,2000-01-03,2022-10-26,2022-10-27,2023-01-18,76.30687984030186,35.50388355345682,-0.12049430517014992,0.6333333333333333
76,6000,60,2000-01-03,2023-01-18,2023-01-19,2023-04-12,54.41879077114821,26.011976045644715,-0.04183297565340305,0.5166666666666667
77,6060,60,2000-01-03,2023-04-12,2023-04-13,2023-07-05,65.23834741823997,41.29991579316859,-0.1980094580545375,0.5666666666666667
78,6120,60,2000-01-03,2023-07-05,2023-07-06,2023-09-27,58.08612902666484,53.832314475407216,-3.2913691330657464,0.5
79,6180,60,2000-01-03,2023-09-27,2023-09-28,2023-12-20,28.27285709476983,21.6260805621622,-0.8616474678353163,0.4
80,6240,60,2000-01-03,2023-12-20,2023-12-21,2024-03-13,32.66961244656043,26.74806329006609,-1.5403677458519716,0.38333333333333336
81,6300,60,2000-01-03,2024-03-13,2024-03-14,2024-06-05,22.68324756899255,16.833505202241216,-0.9905032816106416,0.6166666666666667
82,6360,60,2000-01-03,2024-06-05,2024-06-06,2024-08-28,31.55180702242513,28.763812118999624,-1.583997259420193,0.36666666666666664
83,6420,60,2000-01-03,2024-08-28,2024-08-29,2024-11-20,17.516377913317413,13.338768225108518,-0.7622991078178476,0.5
84,6480,60,2000-01-03,2024-11-20,2024-11-21,2025-02-13,27.479754617936106,18.806303280674783,0.19482062908319908,0.4
85,6540,60,2000-01-03,2025-02-13,2025-02-14,2025-05-09,21.442062846398837,16.535485001774713,-1.2473485498240287,0.6333333333333333
86,6600,60,2000-01-03,2025-05-09,2025-05-12,2025-08-01,46.36212765043174,42.58953155553661,-2.6045309382296167,0.16666666666666666
87,6660,60,2000-01-03,2025-08-01,2025-08-04,2025-10-24,11.256030333735659,9.018990463756221,0.5977047424487354,0.6333333333333333
