fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
56,4800,60,2000-01-03,2018-06-13,2018-06-14,2018-09-05,31.862204546804403,24.497377267508217,-0.21581606102721085,0.6666666666666666
57,4860,60,2000-01-03,2018-09-05,2018-09-06,2018-11-28,11.915710440816953,9.080846870812517,-0.9599176053085827,0.6
58,4920,60,2000-01-03,2018-11-28,2018-11-29,2019-02-20,18.548415229533724,14.11090119737331,0.012073002033509916,0.48333333333333334
59,4980,60,2000-01-03,2019-02-20,2019-02-21,2019-05-15,36.2026775300518,32.378263324289826,-2.3926784557776095,0.43333333333333335
60,5040,60,2000-01-03,2019-05-15,2019-05-16,2019-08-07,27.14297047288342,22.564955742811847,-0.8533421933064584,0.5333333333333333
61,5100,60,2000-01-03,2019-08-07,2019-08-08,2019-10-30,22.481218548507577,19.61376809834085,-0.16691195525981684,0.45
62,5160,60,2000-01-03,2019-10-30,2019-10-31,2020-01-22,41.954160559887804,37.976562632378176,-2.839873444056779,0.2833333333333333
63,5220,60,2000-01-03,2020-01-22,2020-01-23,2020-04-15,25.840368321176317,18.958073928290407,-0.9329886961875027,0.8
64,5280,60,2000-01-03,2020-04-15,2020-04-16,2020-07-08,20.892363170654015,16.47623621464326,-0.5673449189370363,0.5833333333333334
65,5340,60,2000-01-03,2020-07-08,2020-07-09,2020-09-30,29.175653024375734,24.622789912904093,-0.19988309112341862,0.5166666666666667
66,5400,60,2000-01-03,2020-09-30,2020-10-01,2020-12-23,34.47974587960312,28.754594582903753,-0.8183362689176608,0.55
67,5460,60,2000-01-03,2020-12-23,2020-12-24,2021-03-17,29.401025603838768,18.017253791191887,-0.15994833989561852,0.65
68,5520,60,2000-01-03,2021-03-17,2021-03-18,2021-06-09,57.13259273729655,43.23935310953281,-0.18568275147503366,0.4
69,5580,60,2000-01-03,2021-06-09,2021-06-10,2021-09-01,45.339737564262464,34.34790740405016,0.12132842909263353,0.55
70,5640,60,2000-01-03,2021-09-01,2021-09-02,2021-11-24,65.7093308158294,53.55299211570763,-0.5180154728577742,0.3333333333333333
71,5700,60,2000-01-03,2021-11-24,2021-11-25,2022-02-16,66.67149973887047,40.02030945225909,-0.04155477409584507,0.5333333333333333
72,5760,60,2000-01-03,2022-02-16,2022-02-17,2022-05-11,301.4219571280196,286.99560324265354,-5.807286597362039,0.38333333333333336
73,5820,60,2000-01-03,2022-05-11,2022-05-12,2022-08-03,126.02791520298469,85.53132761405055,0.3559579845545958,0.55
74,5880,60,2000-01-03,2022-08-03,2022-08-04,2022-10-26,60.19250685911903,42.55559120284522,0.06787964619437536,0.45
75,5940,60,2000-01-03,2022-10-26,2022-10-27,2023-01-18,92.61447478185643,65.41230516008522,-0.8292978859278057,0.35
76,6000,60,2000-01-03,2023-01-18,2023-01-19,2023-04-12,53.96037616659333,39.70231495078879,-0.14993682600134672,0.43333333333333335
77,6060,60,2000-01-03,2023-04-12,2023-04-13,2023-07-05,60.20070035961773,51.78764955048049,-1.0784675787272042,0.5166666666666667
78,6120,60,2000-01-03,2023-07-05,2023-07-06,2023-09-27,71.72374723335511,66.96128482283468,-0.7216856851088365,0.4
79,6180,60,2000-01-03,2023-09-27,2023-09-28,2023-12-20,30.401689030618673,23.60793606671174,-0.18842001283775756,0.5333333333333333
80,6240,60,2000-01-03,2023-12-20,2023-12-21,2024-03-13,38.065723831797726,29.105229671275442,-0.6445209035196329,0.4
81,6300,60,2000-01-03,2024-03-13,2024-03-14,2024-06-05,38.681438021239906,30.40943493388662,0.47192953905246593,0.5666666666666667
82,6360,60,2000-01-03,2024-06-05,2024-06-06,2024-08-28,58.050806385274825,53.63229658717662,-8.796085564468749,0.3
83,6420,60,2000-01-03,2024-08-28,2024-08-29,2024-11-20,26.934487000573196,23.804409607200114,-0.7613088925302094,0.3333333333333333
84,6480,60,2000-01-03,2024-11-20,2024-11-21,2025-02-13,23.52889775374335,20.169171016564672,-0.296006413221781,0.6166666666666667
85,6540,60,2000-01-03,2025-02-13,2025-02-14,2025-05-09,36.53411504613795,31.143794070781713,-3.8309380896716636,0.4666666666666667
86,6600,60,2000-01-03,2025-05-09,2025-05-12,2025-08-01,21.38158997065398,17.33360648146034,-1.4145109481962952,0.5
87,6660,60,2000-01-03,2025-08-01,2025-08-04,2025-10-24,24.77989984530394,22.074137844577997,-3.3158913114974116,0.4166666666666667
