fold,train_size,test_size,train_start_date,train_end_date,test_start_date,test_end_date,rmse,mae,r2,dir_acc
73,5820,60,2000-01-03,2022-05-11,2022-05-12,2022-08-03,170.45489563393687,108.04415715339134,-0.09614819960908427,0.6
74,5880,60,2000-01-03,2022-08-03,2022-08-04,2022-10-26,73.31761849131287,39.368744811321896,0.2620463610326391,0.75
75,5940,60,2000-01-03,2022-10-26,2022-10-27,2023-01-18,123.99170294925493,70.72253727983316,0.02687168028393916,0.4666666666666667
76,6000,60,2000-01-03,2023-01-18,2023-01-19,2023-04-12,95.62488667515827,40.05328715281044,0.03696961446638691,0.6166666666666667
77,6060,60,2000-01-03,2023-04-12,2023-04-13,2023-07-05,119.63976155318164,78.19745584884365,-0.003837797507384,0.5333333333333333
78,6120,60,2000-01-03,2023-07-05,2023-07-06,2023-09-27,67.54157818396354,47.11520969499064,0.4307263788907847,0.45
79,6180,60,2000-01-03,2023-09-27,2023-09-28,2023-12-20,71.54153180505955,38.15100524451941,-0.18762301710366192,0.6
80,6240,60,2000-01-03,2023-12-20,2023-12-21,2024-03-13,101.5299322779632,80.50155370709375,-2.1358436868547916,0.3
81,6300,60,2000-01-03,2024-03-13,2024-03-14,2024-06-05,52.028214565926724,34.68587768667048,-0.293343142620192,0.5166666666666667
82,6360,60,2000-01-03,2024-06-05,2024-06-06,2024-08-28,72.12458684624283,57.677700428026064,0.18966716952876628,0.4666666666666667
83,6420,60,2000-01-03,2024-08-28,2024-08-29,2024-11-20,32.80312556593918,26.79248804462214,-0.7747277585659385,0.48333333333333334
84,6480,60,2000-01-03,2024-11-20,2024-11-21,2025-02-13,22.720140866640953,17.712262904248657,0.5032377407574393,0.65
85,6540,60,2000-01-03,2025-02-13,2025-02-14,2025-05-09,26.337802713244056,21.741057786350176,-0.41275715280555114,0.45
86,6600,60,2000-01-03,2025-05-09,2025-05-12,2025-08-01,31.01620674927931,26.20226129833402,0.14869238429032905,0.45
87,6660,60,2000-01-03,2025-08-01,2025-08-04,2025-10-24,34.93545560862721,24.880502598199385,-0.7375895803927133,0.65
